"official_name","post_code4","post_code6","canton_label_short","latitude","longitude"
"Thalwil",8800,880000,"ZH",47.29021627935,8.5691548928505
"Erlenbach ZH",8703,870300,"ZH",47.302291046246,8.5915871251878
"Herrliberg",8704,870400,"ZH",47.285195921028,8.6168776621558
"Hombrechtikon",8634,863400,"ZH",47.252969696575,8.7638644817746
"Feldbach",8714,871400,"ZH",47.238904200071,8.7821533413601
"Forch",8127,812700,"ZH",47.32539640572,8.6482202377487
"Küsnacht ZH",8700,870000,"ZH",47.31687191383,8.5835290177778
"Männedorf",8708,870800,"ZH",47.254698384922,8.693814643187
"Meilen",8706,870600,"ZH",47.268091751124,8.6398920536753
"Oetwil am See",8618,861800,"ZH",47.270189077231,8.7232149503061
"Stäfa",8712,871200,"ZH",47.238949120247,8.7310365590077
"Uerikon",8713,871300,"ZH",47.234564835246,8.7567382819061
"Uetikon am See",8707,870700,"ZH",47.261825930241,8.6769093307093
"Zumikon",8126,812600,"ZH",47.331403267266,8.6232698322505
"Zollikerberg",8125,812500,"ZH",47.348006636187,8.6022501777431
"Zollikon",8702,870200,"ZH",47.33827439561,8.5741694744424
"Fehraltorf",8320,832000,"ZH",47.387129493635,8.7522590929443
"Hittnau",8335,833500,"ZH",47.360922772482,8.8240843351632
"Kemptthal",8310,831000,"ZH",47.452811907252,8.7056731187014
"Grafstal",8310,831001,"ZH",47.443871192325,8.6982074802309
"Winterberg ZH",8312,831200,"ZH",47.456549104359,8.6920750474756
"Lindau",8315,831500,"ZH",47.441865344454,8.6706345564925
"Tagelswangen",8317,831700,"ZH",47.43041069889,8.6718277936589
"Pfäffikon ZH",8330,833000,"ZH",47.365226722897,8.7810860718698
"Auslikon",8331,833100,"ZH",47.345502202088,8.8068881859863
"Madetswil",8322,832200,"ZH",47.41016500915,8.7914279555163
"Gündisau",8322,832202,"ZH",47.398021536542,8.8074284239403
"Russikon",8332,833200,"ZH",47.396211319067,8.7737721086236
"Rumlikon",8332,833202,"ZH",47.409299438224,8.7597094208136
"Weisslingen",8484,848400,"ZH",47.433435388423,8.7651071197673
"Neschwil",8484,848402,"ZH",47.430208585147,8.7882119918783
"Theilingen",8484,848403,"ZH",47.421108065462,8.7677690759316
"Wila",8492,849200,"ZH",47.41941094676,8.8458174446935
"Wildberg",8489,848900,"ZH",47.427516163451,8.8166700172245
"Schalchen",8489,848901,"ZH",47.406919169916,8.8262078344432
"Ehrikon",8489,848902,"ZH",47.418944455314,8.8090130352475
"Gockhausen",8044,804401,"ZH",47.383338033349,8.6024650694659
"Dübendorf",8600,860000,"ZH",47.395080904917,8.6180350625074
"Egg b. Zürich",8132,813200,"ZH",47.300656341777,8.6914304759755
"Hinteregg",8132,813202,"ZH",47.305942795638,8.6842278044141
"Esslingen",8133,813300,"ZH",47.288348990293,8.7096376784852
"Fällanden",8117,811700,"ZH",47.370530511542,8.6383466701145
"Pfaffhausen",8118,811800,"ZH",47.365738991172,8.6232381644875
"Benglen",8121,812100,"ZH",47.361168045908,8.6373152698253
"Greifensee",8606,860602,"ZH",47.36498664567,8.6769613404486
"Binz",8122,812200,"ZH",47.356740464526,8.6270493000809
"Ebmatingen",8123,812300,"ZH",47.351470553732,8.6399563985176
"Maur",8124,812400,"ZH",47.33781049437,8.6728371002265
"Mönchaltorf",8617,861700,"ZH",47.310152961811,8.721967901705
"Schwerzenbach",8603,860300,"ZH",47.379795846168,8.652116348834
"Nänikon",8606,860600,"ZH",47.370179877627,8.6933684631069
"Uster",8610,861000,"ZH",47.345850015356,8.7168840934774
"Sulzbach",8614,861402,"ZH",47.3289641069,8.7466991681968
"Wermatswil",8615,861500,"ZH",47.36210377663,8.7459233100443
"Freudwil",8615,861502,"ZH",47.374732059866,8.7340764457998
"Riedikon",8616,861600,"ZH",47.332523965667,8.7115103098308
"Volketswil",8604,860400,"ZH",47.389055490572,8.6914152774662
"Gutenswil",8605,860500,"ZH",47.385148368273,8.7179721012147
"Brüttisellen",8306,830600,"ZH",47.423224041804,8.6297252568192
"Wangen b. Dübendorf",8602,860200,"ZH",47.409458813946,8.6464447417613
"Altikon",8479,847900,"ZH",47.575237204363,8.7844923548504
"Brütten",8311,831100,"ZH",47.474092919035,8.6742063614205
"Rutschwil (Dägerlen)",8471,847100,"ZH",47.557837008534,8.7326800412447
"Dägerlen",8471,847102,"ZH",47.560962325599,8.7185371765378
"Oberwil (Dägerlen)",8471,847103,"ZH",47.572587146096,8.7165974943824
"Berg (Dägerlen)",8471,847104,"ZH",47.563723394979,8.7331556155391
"Bänk (Dägerlen)",8471,847105,"ZH",47.549145403033,8.7409315242874
"Dättlikon",8421,842100,"ZH",47.5248801395,8.6241540317799
"Dinhard",8474,847400,"ZH",47.55520343572,8.7682792697482
"Ellikon an der Thur",8548,854800,"ZH",47.562018262658,8.8253941655074
"Elsau",8352,835200,"ZH",47.506150940046,8.8024980850251
"Hagenbuch ZH",8523,852300,"ZH",47.521018768042,8.8878128116363
"Hettlingen",8442,844200,"ZH",47.548385253073,8.708097461124
"Aesch (Neftenbach)",8412,841200,"ZH",47.541275661934,8.6793543853393
"Riet (Neftenbach)",8412,841201,"ZH",47.536464240456,8.6868131342037
"Hünikon (Neftenbach)",8412,841202,"ZH",47.552143461773,8.668195049727
"Neftenbach",8413,841300,"ZH",47.528553934923,8.6678089825372
"Pfungen",8422,842200,"ZH",47.5158790412,8.6465246869726
"Rickenbach ZH",8545,854500,"ZH",47.551443860531,8.793881395416
"Rickenbach Sulz",8545,854501,"ZH",47.542079939945,8.783068435309
"Schlatt ZH",8418,841800,"ZH",47.467956994042,8.8259418236187
